,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,puquio,-14.7,-74.13,60.15,20,0,14.7,PE,1666473549
285,neepawa,50.23,-99.47,50.4,51,100,14.36,CA,1666473549
286,kroya,-7.63,109.25,78.04,86,66,3.31,ID,1666473520
287,coihaique,-45.58,-72.07,60.75,20,0,11.5,CL,1666473550
288,sangar,63.92,127.47,12.7,97,100,0.67,RU,1666473550
289,lavrentiya,65.58,-171.0,32.77,91,50,2.91,RU,1666473551
290,joshimath,30.57,79.57,51.31,38,0,6.87,IN,1666473551
291,kaitangata,-46.28,169.85,55.62,58,20,5.01,NZ,1666473552
292,benghazi,32.12,20.07,69.87,61,0,10.36,LY,1666473436
293,buala,-8.14,159.59,81.23,79,100,5.57,SB,1666473552
294,gyomro,47.43,19.4,52.61,100,20,3.44,HU,1666473553
295,monze,-16.28,27.48,73.11,37,13,4.65,ZM,1666473553
296,faanui,-16.48,-151.75,79.68,73,27,16.26,PF,1666473553
297,ilhabela,-23.78,-45.36,70.7,87,46,7.18,BR,1666473356
298,monroe,43.15,-77.68,74.71,35,0,9.22,US,1666473554
299,kununurra,-15.77,128.73,85.48,47,21,5.93,AU,1666473499
300,faya,18.39,42.45,60.91,21,8,4.83,SA,1666473555
301,masingbi,8.78,-11.95,74.34,94,100,1.07,SL,1666473555
302,ulaangom,49.98,92.07,31.84,71,10,1.97,MN,1666473556
303,loukhi,66.08,33.04,39.99,80,100,15.12,RU,1666473556
304,januaria,-15.48,-44.37,79.5,54,100,2.26,BR,1666473557
305,skoghall,59.32,13.47,44.4,85,45,6.17,SE,1666473558
306,taylorville,39.55,-89.29,80.91,34,0,19.57,US,1666473558
307,algiers,36.75,3.04,67.82,68,0,2.3,DZ,1666473560
308,lata,40.16,-8.33,61.81,88,100,10.76,PT,1666473560
309,yandyki,45.77,47.13,44.06,50,13,1.81,RU,1666473560
310,bagdarin,54.43,113.6,20.55,78,1,2.53,RU,1666473561
311,northam,51.03,-4.22,59.4,96,100,11.23,GB,1666473276
312,mabai,23.01,104.45,57.31,96,63,3.47,CN,1666473561
313,marsaxlokk,35.84,14.54,68.07,60,0,3.53,MT,1666473562
314,cidreira,-30.18,-50.21,65.57,78,29,7.45,BR,1666473562
315,lompoc,34.64,-120.46,73.02,72,20,11.5,US,1666473308
316,mandan,46.83,-100.89,54.01,71,0,12.66,US,1666473563
317,beringovskiy,63.05,179.32,28.18,85,100,9.22,RU,1666473563
318,pierre,44.37,-100.35,63.52,39,0,0.0,US,1666473564
319,skibbereen,51.55,-9.27,58.1,93,100,8.84,IE,1666473564
320,takhtamygda,54.1,123.57,22.95,84,8,3.13,RU,1666473564
321,cordoba,-31.41,-64.18,68.76,39,20,5.75,AR,1666473549
322,foam lake,51.65,-103.53,50.02,42,24,9.75,CA,1666473565
323,port lincoln,-34.73,135.87,57.56,87,100,18.59,AU,1666473566
324,ambovombe,-25.17,46.08,70.54,81,1,5.95,MG,1666473566
325,altagracia de orituco,9.86,-66.38,79.11,83,71,4.0,VE,1666473567
326,san quintin,30.48,-115.95,69.35,67,85,12.28,MX,1666473567
327,bahia blanca,-38.72,-62.27,62.96,27,0,6.15,AR,1666473568
328,mbouda,5.63,10.26,62.58,94,100,1.07,CM,1666473568
329,kargasok,59.06,80.86,32.16,79,100,6.69,RU,1666473569
330,hrodna,53.69,23.83,46.29,94,100,4.36,BY,1666473569
331,baruun-urt,46.68,113.28,28.81,56,0,6.78,MN,1666473569
332,kasongo-lunda,-6.47,16.82,71.22,95,100,0.89,CD,1666473570
333,sitka,57.05,-135.33,48.09,76,0,0.0,US,1666473570
334,pecos,31.42,-103.49,86.09,30,0,12.66,US,1666473570
335,mungwi,-10.17,31.37,74.66,35,89,3.67,ZM,1666473571
336,grindavik,63.84,-22.43,39.67,93,100,6.91,IS,1666473571
337,porto novo,6.5,2.6,77.79,90,72,5.01,BJ,1666473571
338,meulaboh,4.14,96.13,75.15,86,99,5.64,ID,1666473572
339,khasan,42.43,130.64,41.79,71,0,9.19,RU,1666473572
340,mayumba,-3.43,10.66,77.32,92,78,7.14,GA,1666473572
341,san carlos,9.66,-68.58,86.0,68,51,3.6,VE,1666473573
342,pangnirtung,66.15,-65.71,30.69,93,100,9.37,CA,1666473573
343,san miguel,13.48,-88.18,92.8,55,40,10.36,SV,1666473574
344,harper,4.38,-7.72,77.29,87,85,7.45,LR,1666473574
345,bathsheba,13.22,-59.52,84.81,74,40,12.66,BB,1666473576
346,sorland,67.67,12.69,40.86,65,100,27.6,NO,1666473576
347,westport,41.14,-73.36,65.89,63,0,4.61,US,1666473577
348,portland,45.52,-122.68,61.0,77,75,4.61,US,1666473268
349,margate,51.38,1.39,60.31,92,100,3.0,GB,1666473577
350,antalaha,-14.9,50.28,68.38,90,22,4.36,MG,1666473578
351,hofn,64.25,-15.21,37.24,74,99,8.68,IS,1666473579
352,dubbo,-32.25,148.62,62.37,92,78,4.14,AU,1666473579
353,batsfjord,70.63,29.72,35.53,75,40,8.05,NO,1666473580
354,lengshuitan,26.41,111.6,66.88,34,13,2.08,CN,1666473581
355,fuyang,32.9,115.82,59.02,60,7,7.16,CN,1666473581
356,rosa zarate,0.33,-79.47,87.82,52,84,4.14,EC,1666473582
357,miranda,3.25,-76.23,78.93,82,79,1.86,CO,1666473582
358,rio gallegos,-51.62,-69.22,60.85,25,40,5.75,AR,1666473583
359,torbay,47.67,-52.73,54.75,81,0,3.0,CA,1666473322
360,itarema,-2.92,-39.92,79.34,80,73,15.3,BR,1666473583
361,lishui,28.46,119.91,61.43,79,6,3.38,CN,1666473583
362,yumen,40.28,97.2,43.45,32,0,3.24,CN,1666473584
363,dakar,14.69,-17.44,79.68,74,0,9.35,SN,1666473584
364,mahina,-17.51,-149.49,77.23,81,8,15.26,PF,1666473584
365,bonfim,3.08,-59.95,87.24,56,98,1.43,BR,1666473585
366,serenje,-13.23,30.24,67.75,38,61,6.11,ZM,1666473585
367,plettenberg bay,-34.05,23.37,62.56,91,7,5.88,ZA,1666473585
368,vardo,70.37,31.11,35.58,80,100,13.8,NO,1666473586
369,dunedin,-45.87,170.5,59.81,67,6,1.01,NZ,1666473586
370,kualakapuas,-3.01,114.39,74.17,98,45,1.39,ID,1666473586
371,nieuw amsterdam,5.88,-55.08,89.76,81,51,10.58,SR,1666473587
372,marystown,47.17,-55.15,52.77,84,0,11.18,CA,1666473587
373,hakui,36.88,136.78,64.24,78,85,5.86,JP,1666473587
374,suntar,62.14,117.63,22.59,98,93,3.38,RU,1666473588
375,sur,22.57,59.53,76.33,73,0,5.17,OM,1666473588
376,malakal,9.53,31.66,71.82,95,48,3.98,SS,1666473588
377,lexington,37.99,-84.48,77.95,39,0,16.11,US,1666473422
378,hoi an,15.88,108.34,75.16,83,100,7.05,VN,1666473307
379,arauca,7.08,-70.76,89.6,62,51,4.61,CO,1666473589
380,chara,56.91,118.26,17.51,74,27,1.59,RU,1666473589
381,hasaki,35.73,140.83,55.8,69,28,7.18,JP,1666473589
382,timbo,-26.82,-49.27,72.91,85,79,4.23,BR,1666473348
383,hammerfest,70.66,23.68,34.25,100,100,14.97,NO,1666473590
384,ryotsu,38.08,138.43,60.28,79,61,6.02,JP,1666473590
385,ames,42.03,-93.62,83.98,33,0,17.27,US,1666473565
386,ler,8.3,30.14,72.73,89,100,0.98,SS,1666473591
387,arcot,12.9,79.33,73.62,88,41,4.72,IN,1666473591
388,birjand,32.87,59.22,61.27,14,0,13.8,IR,1666473591
389,sisimiut,66.94,-53.67,35.98,81,100,9.86,GL,1666473592
390,bambanglipuro,-7.95,110.28,78.28,86,100,2.51,ID,1666473592
391,port hedland,-20.32,118.57,69.85,88,0,9.22,AU,1666473592
392,san juan,-31.54,-68.54,68.31,36,0,3.06,AR,1666473593
393,bonavista,48.65,-53.11,54.12,74,0,12.66,CA,1666473593
394,aberdeen,57.14,-2.1,55.49,96,20,6.91,GB,1666473593
395,novoagansk,61.94,76.66,31.01,83,99,8.93,RU,1666473593
396,la ronge,55.1,-105.28,44.85,39,20,4.61,CA,1666473327
397,khorinsk,52.17,109.77,25.27,89,12,1.43,RU,1666473594
398,waw,7.7,28.0,72.5,84,97,1.66,SS,1666473594
399,labuhan,-6.88,112.21,81.01,79,71,3.51,ID,1666473594
400,zimovniki,47.15,42.46,41.83,57,100,6.02,RU,1666473595
401,mayo,38.89,-76.51,69.15,56,0,5.75,US,1666473595
402,aykhal,66.0,111.5,15.46,99,100,11.21,RU,1666473595
403,ponta delgada,37.73,-25.67,65.12,68,40,9.22,PT,1666473596
404,tiznit,29.58,-9.5,76.46,23,45,4.61,MA,1666473596
405,nantucket,41.28,-70.1,62.74,70,0,0.0,US,1666473424
406,road town,18.42,-64.62,84.29,79,40,3.44,VG,1666473596
407,taos,36.41,-105.57,68.2,34,20,21.85,US,1666473597
408,houma,29.6,-90.72,80.01,63,75,13.8,US,1666473597
409,taoudenni,22.68,-3.98,87.22,13,87,9.46,ML,1666473597
410,amapa,1.0,-52.0,84.97,56,96,5.48,BR,1666473598
411,skegness,53.14,0.34,58.05,89,98,13.29,GB,1666473598
412,taga,46.95,24.05,54.32,56,100,1.68,RO,1666473598
413,tucumcari,35.17,-103.72,80.94,24,0,28.77,US,1666473599
414,port hope,43.94,-82.71,72.21,49,47,9.22,US,1666473599
415,rocha,-34.48,-54.33,56.89,98,87,6.11,UY,1666473599
416,sitrah,26.15,50.62,86.0,66,0,3.44,BH,1666473600
417,atar,20.52,-13.05,88.38,12,2,10.42,MR,1666473600
418,del rio,29.36,-100.9,84.24,47,0,16.11,US,1666473600
419,barentu,15.11,37.59,81.57,36,54,4.85,ER,1666473600
420,kuching,1.55,110.33,75.42,94,20,1.99,MY,1666473601
421,hovd,48.01,91.64,38.32,40,6,6.46,MN,1666473602
422,nemuro,43.32,145.57,52.79,76,0,16.82,JP,1666473602
423,labrea,-7.26,-64.8,88.68,56,100,4.54,BR,1666473603
424,juneau,58.3,-134.42,46.22,92,75,5.75,US,1666473323
425,riohacha,11.54,-72.91,84.58,75,13,10.92,CO,1666473603
426,college,64.86,-147.8,33.08,96,100,5.75,US,1666473604
427,keti bandar,24.14,67.45,82.24,51,0,2.04,PK,1666473604
428,hurghada,27.26,33.81,75.87,49,0,15.26,EG,1666473605
429,half moon bay,37.46,-122.43,72.41,56,0,26.46,US,1666473605
430,cortez,37.35,-108.59,66.96,35,20,18.41,US,1666473606
431,inuvik,68.35,-133.72,16.56,86,40,4.61,CA,1666473324
432,mlonggo,-6.53,110.7,79.45,82,96,3.91,ID,1666473606
433,boda,4.32,17.47,71.82,96,100,2.95,CF,1666473607
434,walcz,53.28,16.47,51.67,96,51,6.04,PL,1666473608
435,makakilo city,21.35,-158.09,84.52,67,75,10.36,US,1666473391
436,bulaevo,54.91,70.44,32.07,73,100,16.4,KZ,1666473609
437,poya,-21.35,165.15,75.54,73,100,9.1,NC,1666473609
438,serabu,7.8,-12.05,74.64,96,74,3.31,SL,1666473610
439,chhagalnaiya,23.03,91.51,76.23,78,100,3.71,BD,1666473611
440,eureka,40.8,-124.16,63.68,72,13,5.01,US,1666473611
441,codrington,-38.27,141.97,54.93,91,100,17.25,AU,1666473611
442,miquelon,47.1,-56.38,53.6,86,0,15.1,PM,1666473612
443,kaniama,-7.57,24.18,67.05,95,98,1.66,CD,1666473612
444,constantine,36.36,6.61,74.61,31,0,2.3,DZ,1666473539
445,axim,4.87,-2.24,78.03,86,100,5.99,GH,1666473613
446,sacapulas,15.29,-91.09,85.64,73,70,7.18,GT,1666473613
447,miri,4.41,114.01,77.14,94,40,0.0,MY,1666473614
448,ngaoundere,7.32,13.58,64.4,96,45,3.42,CM,1666473417
449,mandalgovi,45.76,106.27,34.93,39,0,6.6,MN,1666473614
450,charleston,32.78,-79.93,75.22,59,0,10.36,US,1666473615
451,sobolevo,54.43,31.9,42.13,84,100,9.37,RU,1666473615
452,bereda,43.27,-7.54,58.41,89,99,8.21,ES,1666473616
453,byron bay,-28.65,153.62,66.16,95,100,16.26,AU,1666473616
454,novaya ladoga,60.1,32.3,40.14,85,34,10.58,RU,1666473617
455,pathein,16.78,94.73,73.56,97,86,7.85,MM,1666473617
456,kirakira,-10.45,161.92,79.43,80,100,5.19,SB,1666473618
457,vidalia,32.22,-82.41,75.15,25,0,8.05,US,1666473618
458,narsaq,60.92,-46.05,37.62,95,100,5.55,GL,1666473619
459,waterloo,43.47,-80.52,68.65,56,0,17.27,CA,1666473391
460,marsh harbour,26.54,-77.06,78.35,70,5,16.08,BS,1666473620
461,nawashahr,31.12,76.13,66.88,46,0,3.91,IN,1666473620
462,komsomolskiy,40.43,71.72,50.72,71,97,4.61,UZ,1666473620
463,mamou,10.5,-12.0,69.44,91,100,2.08,GN,1666473621
464,havelock,34.88,-76.9,71.6,66,75,11.5,US,1666473621
465,zdvinsk,54.7,78.66,49.06,93,100,12.53,RU,1666473622
466,bubaque,11.28,-15.83,82.13,73,80,2.42,GW,1666473622
467,guerrero negro,27.98,-114.06,75.79,56,33,11.97,MX,1666473623
468,vostok,46.49,135.88,23.95,90,80,2.91,RU,1666473623
469,ascension,30.22,-90.9,82.09,47,40,11.5,US,1666473624
470,chichimila,20.62,-88.22,87.31,31,0,4.65,MX,1666473624
471,leh,34.17,77.58,29.57,42,0,1.5,IN,1666473625
472,khorixas,-20.37,14.97,77.18,24,4,7.09,NA,1666473625
473,danielskuil,-28.19,23.54,68.7,48,46,2.59,ZA,1666473625
474,petropavlovsk-kamchatskiy,53.05,158.65,27.19,86,20,11.18,RU,1666473626
475,york,40.13,-77.0,68.99,40,0,8.05,US,1666473626
476,zhigansk,66.77,123.37,15.19,96,100,6.31,RU,1666473626
477,tupiza,-21.45,-65.72,61.84,38,2,17.13,BO,1666473627
478,imamoglu,37.27,35.66,67.23,30,0,6.91,TR,1666473627
479,chicama,-7.84,-79.15,61.34,64,86,10.13,PE,1666473627
480,pucallpa,-8.38,-74.55,84.24,70,75,9.22,PE,1666473505
481,carutapera,-1.2,-46.02,80.56,77,81,9.82,BR,1666473628
482,sembe,1.65,14.58,71.02,98,92,0.38,CG,1666473628
483,sioux lookout,50.1,-91.92,48.27,87,100,3.44,CA,1666473629
484,nizhnevartovsk,60.93,76.55,30.22,93,100,4.47,RU,1666473629
485,kainantu,-6.29,145.87,60.64,93,94,3.44,PG,1666473629
486,agua verde,22.9,-106.05,86.09,71,83,9.13,MX,1666473630
487,zhovtneve,50.66,24.25,49.77,94,100,10.2,UA,1666473630
488,nara,34.69,135.8,63.97,86,80,4.23,JP,1666473631
489,kemijarvi,66.71,27.43,30.81,94,73,7.61,FI,1666473631
490,kutum,14.2,24.67,73.42,22,12,9.8,SD,1666473632
491,voloshka,61.33,40.09,36.54,95,100,9.78,RU,1666473632
492,ivybridge,50.39,-3.92,60.91,94,100,12.71,GB,1666473632
493,mount isa,-20.73,139.5,78.35,23,0,8.41,AU,1666473633
494,altay,47.87,88.12,46.13,48,21,6.91,CN,1666473423
495,aklavik,68.22,-135.01,15.8,92,75,2.3,CA,1666473634
496,kaeo,-35.1,173.78,62.33,70,2,8.59,NZ,1666473634
497,tommot,58.96,126.29,21.52,97,100,2.53,RU,1666473634
498,fukue,32.69,128.84,68.72,56,4,16.98,JP,1666473635
499,awbari,26.59,12.78,68.67,43,0,8.21,LY,1666473635
500,kushmurun,52.45,64.63,30.63,80,100,14.32,KZ,1666473636
501,madinat sittah uktubar,29.82,31.05,73.0,70,66,10.29,EG,1666473636
502,comodoro rivadavia,-45.87,-67.5,75.06,6,0,17.27,AR,1666473573
503,seguela,7.96,-6.67,75.88,76,60,3.15,CI,1666473637
504,kavaratti,10.57,72.64,81.27,78,15,5.17,IN,1666473559
505,ampanihy,-24.7,44.75,68.5,88,60,1.34,MG,1666473637
506,nuuk,64.18,-51.72,41.61,70,75,27.63,GL,1666473637
507,ketchikan,55.34,-131.65,46.87,76,40,5.75,US,1666473638
508,selma,36.57,-119.61,75.25,57,97,8.68,US,1666473639
509,lamu,-2.27,40.9,75.42,88,20,11.36,KE,1666473639
510,yichang,30.71,111.28,69.58,43,92,2.35,CN,1666473639
511,wembley,-31.93,115.8,57.06,95,0,5.75,AU,1666473640
512,renqiu,38.7,116.09,50.94,34,0,4.34,CN,1666473641
513,beyneu,45.32,55.2,44.26,60,1,7.14,KZ,1666473641
514,baybay,10.68,124.83,77.88,87,88,2.89,PH,1666473642
515,turayf,31.67,38.66,64.65,63,0,0.0,SA,1666473642
516,uruzgan,32.83,66.0,52.52,17,0,1.7,AF,1666473643
517,ferrol,43.48,-8.24,59.52,79,5,17.16,ES,1666473643
518,gornyye klyuchi,45.25,133.5,31.42,72,88,1.25,RU,1666473643
519,bengkulu,-3.8,102.27,76.37,82,100,3.42,ID,1666473644
520,naze,28.37,129.48,76.12,88,97,11.23,JP,1666473345
521,sillamae,59.4,27.75,41.49,89,10,9.24,EE,1666473644
522,west plains,36.73,-91.85,74.23,60,0,21.85,US,1666473645
523,kyra,49.58,111.98,25.68,83,8,3.06,RU,1666473645
524,mazamari,-11.33,-74.53,79.9,87,98,1.92,PE,1666473645
525,rafaela,-31.25,-61.49,68.0,47,0,11.7,AR,1666473522
526,makueni,-1.8,37.62,65.26,83,99,6.26,KE,1666473646
527,xichang,27.9,102.26,57.97,91,31,1.28,CN,1666473646
528,necochea,-38.55,-58.74,49.71,51,0,9.31,AR,1666473537
529,zhanaozen,43.3,52.8,49.37,56,100,4.61,KZ,1666473647
530,santa rosa,14.31,121.11,81.09,91,100,3.53,PH,1666473647
531,alberton,46.82,-64.07,60.71,66,0,15.97,CA,1666473648
532,tashtyp,52.79,89.9,40.98,72,99,3.42,RU,1666473648
533,merauke,-8.47,140.33,79.7,84,11,2.53,ID,1666473649
534,longford,53.73,-7.8,49.39,97,13,4.16,IE,1666473649
535,sao joao da barra,-21.64,-41.05,73.36,93,77,5.37,BR,1666473649
536,walvis bay,-22.96,14.51,59.09,88,5,9.22,NA,1666473650
537,teya,60.38,92.63,40.26,98,100,2.71,RU,1666473650
538,key west,24.56,-81.78,84.2,60,0,13.8,US,1666473650
539,coquimbo,-29.95,-71.34,56.93,82,75,9.22,CL,1666473651
540,adrar,20.5,-10.07,85.41,12,2,6.31,MR,1666473651
541,kunnamkulam,10.65,76.08,75.11,92,50,1.36,IN,1666473651
542,millville,39.4,-75.04,65.95,62,0,3.44,US,1666473652
543,loughrea,53.2,-8.57,49.84,95,6,3.33,IE,1666473652
544,erenhot,43.65,111.98,38.03,46,0,5.73,CN,1666473652
545,pontianak,-0.03,109.33,75.18,100,100,1.14,ID,1666473653
546,jiayuguan,39.82,98.3,42.84,33,0,2.17,CN,1666473653
547,tucuman,-26.82,-65.22,71.6,49,40,10.36,AR,1666473654
548,vila franca do campo,37.72,-25.43,64.81,76,78,16.87,PT,1666473654
549,laguna,38.42,-121.42,76.42,27,0,16.11,US,1666473654
550,alice springs,-23.7,133.88,69.35,60,39,8.05,AU,1666473475
551,nueva rosita,27.95,-101.22,88.41,26,2,10.51,MX,1666473655
552,tilichiki,60.47,166.1,10.54,92,72,6.89,RU,1666473655
553,leningradskiy,69.38,178.42,26.13,97,100,6.31,RU,1666473655
554,akom,2.67,12.71,68.56,99,100,0.81,CM,1666473656
555,soyo,-6.13,12.37,77.11,89,23,9.75,AO,1666473656
556,navalmoral de la mata,39.89,-5.54,60.96,91,62,3.56,ES,1666473656
557,tokmak,47.25,35.71,49.14,87,97,8.84,UA,1666473657
558,dzilam gonzalez,21.28,-88.93,80.31,50,1,9.89,MX,1666473657
559,la rochelle,46.17,-1.15,66.87,68,0,14.97,FR,1666473408
560,ahipara,-35.17,173.17,60.4,55,0,6.64,NZ,1666473657
561,surazh,53.02,32.39,43.93,82,100,10.31,RU,1666473658
562,harnosand,62.63,17.94,35.01,75,99,10.67,SE,1666473658
563,saint-augustin,51.23,-58.65,50.65,73,31,18.68,CA,1666473658
564,akyab,20.15,92.9,79.92,83,100,6.6,MM,1666473659
565,sumbe,-11.21,13.84,75.07,87,90,9.15,AO,1666473659
566,krasnogorsk,55.82,37.32,41.45,87,75,6.71,RU,1666473659
567,sungairaya,0.7,108.9,77.56,89,74,0.6,ID,1666473660
568,san felipe,10.34,-68.74,79.38,86,49,6.53,VE,1666473660
569,xuzhou,34.18,117.16,56.08,53,37,7.31,CN,1666473660
570,manokwari,-0.87,134.08,78.69,79,70,3.36,ID,1666473661
571,lerwick,60.15,-1.15,51.8,93,87,16.58,GB,1666473441
572,bielsk podlaski,52.77,23.19,52.25,96,100,6.26,PL,1666473661
